VALUE_SET_ID,VALUE_SET_CODE,VALUE_ID,VALUE,DESCRIPTION,ENABLED_FLAG,LAST_UPDATE_DATE,CREATION_DATE
51137,ORA_PON_PRIV,50001,01,,Y,31-Oct-17,31-Oct-17
51281,ORA_POQ_PRIV,51001,01,,Y,31-Oct-17,31-Oct-17
51282,ORA_POR_PRIV,51002,01,,Y,31-Oct-17,31-Oct-17
51283,ORA_POS_PRIV,51003,01,,Y,31-Oct-17,31-Oct-17
51284,ORA_PO_PRIV,51004,01,,Y,31-Oct-17,31-Oct-17
51333,ORA_PRC_METRICS,51005,NAMED_USERS_PO,Purchasing Cloud Service - Hosted Named Users,Y,31-Oct-17,31-Oct-17
51333,ORA_PRC_METRICS,51006,NAMED_USERS_PON,Sourcing Cloud Service - Hosted Named Users,Y,31-Oct-17,31-Oct-17
51333,ORA_PRC_METRICS,51007,NAMED_USERS_POQ,Supplier Qualification Cloud Service - Hosted Named Users,Y,31-Oct-17,31-Oct-17
51333,ORA_PRC_METRICS,51008,NAMED_USERS_POR,Purchasing or Self Service Procurement Cloud Service - Hosted Named Users,Y,31-Oct-17,31-Oct-17
51333,ORA_PRC_METRICS,51009,NAMED_USERS_POS,Supplier Portal Cloud Service - Hosted Named Users,Y,31-Oct-17,31-Oct-17
51333,ORA_PRC_METRICS,51010,ORA_PO_ORDERS_COMM_ELECTRONICALLY,Purchase Orders Communicated Electronically,Y,31-Oct-17,31-Oct-17
51333,ORA_PRC_METRICS,51011,ORA_PO_ORDERS_COMM_MANUALLY,Purchase Orders Communicated Manually,Y,31-Oct-17,31-Oct-17
51333,ORA_PRC_METRICS,51012,ORA_PRC_ACTIVE_USERS_COUNT,Active Self Service Procurement Users,Y,31-Oct-17,31-Oct-17
51333,ORA_PRC_METRICS,51013,ORA_PRC_PO_LINES_COUNT,Purchase Order Lines Created from Catalog Request,Y,31-Oct-17,31-Oct-17
51334,ORA_PRC_METRICS_SETS,51014,PRC,Procurement,Y,31-Oct-17,31-Oct-17
51448,ORA_HRA_PRIV,52027,08,,Y,31-Oct-17,31-Oct-17
51448,ORA_HRA_PRIV,52028,09,,Y,31-Oct-17,31-Oct-17
