invoice,date,store,before vat,Vat,Total,price,quantity,before vat,Vat,Total,
1706X32292,01-07-2017,1551, 348.60 , 24.40 , 373.00 ,34.86, 10.00 , 348.60 , 24.40 , 373.00 ,
1706X32316,01-07-2017,1570, 811.80 , 56.83 , 868.63 ,27.06, 30.00 , 811.80 , 56.83 , 868.63 ,
1706X32711,01-07-2017,1640, 158.40 , 11.09 , 169.49 ,31.68, 5.00 , 158.40 , 11.09 , 169.49 ,
1706X32716,01-07-2017,1741, 380.16 , 26.61 , 406.77 ,31.68, 12.00 , 380.16 , 26.61 , 406.77 ,
1706X32717,01-07-2017,1534, 95.04 , 6.65 , 101.69 ,31.68, 3.00 , 95.04 , 6.65 , 101.69 ,
1706X32718,01-07-2017,1664, 253.44 , 17.74 , 271.18 ,31.68, 8.00 , 253.44 , 17.74 , 271.18 ,
1706X32719,01-07-2017,1557, 316.80 , 22.18 , 338.98 ,31.68, 10.00 , 316.80 , 22.18 , 338.98 ,
1706X32720,01-07-2017,1606, 253.44 , 17.74 , 271.18 ,31.68, 8.00 , 253.44 , 17.74 , 271.18 ,
1706X32732,01-07-2017,1559, 538.56 , 37.70 , 576.26 ,31.68, 17.00 , 538.56 , 37.70 , 576.26 ,
1706X32760,01-07-2017,1654, 633.60 , 44.35 , 677.95 ,31.68, 20.00 , 633.60 , 44.35 , 677.95 ,
1706X32761,01-07-2017,1257, 950.40 , 66.53 ," 1,016.93 ",31.68, 30.00 , 950.40 , 66.53 ," 1,016.93 ",
1706X32762,01-07-2017,1603," 1,900.80 ", 133.06 ," 2,033.86 ",31.68, 60.00 ," 1,900.80 ", 133.06 ," 2,033.86 ",
1706X32763,01-07-2017,1511, 633.60 , 44.35 , 677.95 ,31.68, 20.00 , 633.60 , 44.35 , 677.95 ,
1706X32765,01-07-2017,1331," 1,267.20 ", 88.70 ," 1,355.90 ",31.68, 40.00 ," 1,267.20 ", 88.70 ," 1,355.90 ",
1706X32769,01-07-2017,1324, 735.00 , 51.45 , 786.45 ,29.4, 25.00 , 735.00 , 51.45 , 786.45 ,
1706X32774,01-07-2017,1524, 147.00 , 10.29 , 157.29 ,29.4, 5.00 , 147.00 , 10.29 , 157.29 ,
1706X32780,01-07-2017,1473, 950.40 , 66.53 ," 1,016.93 ",31.68, 30.00 , 950.40 , 66.53 ," 1,016.93 ",
1706X32783,01-07-2017,1467, 316.80 , 22.18 , 338.98 ,31.68, 10.00 , 316.80 , 22.18 , 338.98 ,
1706X32784,01-07-2017,1632, 475.20 , 33.26 , 508.46 ,31.68, 15.00 , 475.20 , 33.26 , 508.46 ,
1706X32785,01-07-2017,1493, 380.16 , 26.61 , 406.77 ,31.68, 12.00 , 380.16 , 26.61 , 406.77 ,
1706X32809,01-07-2017,1423, 541.20 , 37.88 , 579.08 ,27.06, 20.00 , 541.20 , 37.88 , 579.08 ,
1706X32815,01-07-2017,1689, 405.90 , 28.41 , 434.31 ,27.06, 15.00 , 405.90 , 28.41 , 434.31 ,
1706X32832,01-07-2017,1346," 1,082.40 ", 75.77 ," 1,158.17 ",27.06, 40.00 ," 1,082.40 ", 75.77 ," 1,158.17 ",
1706X32833,01-07-2017,2234, 541.20 , 37.88 , 579.08 ,27.06, 20.00 , 541.20 , 37.88 , 579.08 ,
1706X32872,01-07-2017,1228," 1,082.40 ", 75.77 ," 1,158.17 ",27.06, 40.00 ," 1,082.40 ", 75.77 ," 1,158.17 ",
1706X32873,01-07-2017,1397, 216.48 , 15.15 , 231.63 ,27.06, 8.00 , 216.48 , 15.15 , 231.63 ,
1706X32874,01-07-2017,1439, 270.60 , 18.94 , 289.54 ,27.06, 10.00 , 270.60 , 18.94 , 289.54 ,
1706X32875,01-07-2017,1219, 541.20 , 37.88 , 579.08 ,27.06, 20.00 , 541.20 , 37.88 , 579.08 ,
1706X32899,01-07-2017,1584, 676.50 , 47.36 , 723.86 ,27.06, 25.00 , 676.50 , 47.36 , 723.86 ,
1706X32904,01-07-2017,1379, 811.80 , 56.83 , 868.63 ,27.06, 30.00 , 811.80 , 56.83 , 868.63 ,
1706X32918,01-07-2017,1345, 541.20 , 37.88 , 579.08 ,27.06, 20.00 , 541.20 , 37.88 , 579.08 ,
1706X32938,01-07-2017,1479, 811.80 , 56.83 , 868.63 ,27.06, 30.00 , 811.80 , 56.83 , 868.63 ,
