100,Vision Operations,External,AP_Demo_Std_Bad_Data_10I,14403.90,2012/02/12,Advanced Network Devices,1013,FRESNO,USD,USD,Standard Invoice with bad data in Invoice Date - Incorrect date format,AP_Cloud_Demo,STANDARD,,,,,,Immediate,2012/04/01,,,2012/04/01,CHECK,Standard,#NULL,,,,,,,,,,01-000-2210-0000-000,#NULL,,,,,#NULL,#NULL,,,,21,#NULL,,,#NULL,#NULL,,,,#NULL,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
200,Vision Operations,External,AP_Demo_CM_Reject_10I,-13064.56,2012/04/01,Advanced Network Devices,1013,FRESNO,USD,USD,Standard unmatched Credit memo with Header Rejection - Invalid Invoice Type Lookup,AP_Cloud_Demo,CREDIT MEMO,,,,,,Immediate,2012/04/01,,,2012/04/01,CHECK,Standard,#NULL,,,,,,,,,,01-000-2210-0000-000,#NULL,,,,,#NULL,#NULL,,,,1,#NULL,,,#NULL,#NULL,,,,#NULL,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
300,Vision Operations,External,AP_Demo_Std_Reject_10I,37948.55,2012/02/12,Advantage Corp,,FLORHAM PARK,EUR,EUR,Standard Invoice with Header Rejection - Invalid Supplier,AP_Cloud_Demo,STANDARD,,,,,,2/10 NET 30,2012/04/01,,,2012/04/01,CHECK,Standard,#NULL,,,,,,,,,,01-000-2210-0000-000,#NULL,,,,,#NULL,#NULL,,,,1,#NULL,,,#NULL,#NULL,,,,#NULL,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
400,Vision Operations,External,AP_Demo_Std_UnMatched_10I,14403.90,2012/02/12,Advanced Network Devices,1013,FRESNO,USD,USD,Standard unmatched Invoice,AP_Cloud_Demo,STANDARD,,,,,,Immediate,2012/04/01,,,2012/04/01,CHECK,Standard,#NULL,,,,,,,,,,01-000-2210-0000-000,#NULL,,,,,#NULL,#NULL,,,,1,#NULL,,,#NULL,#NULL,,,,#NULL,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
500,Vision Operations,External,AP_Demo_Std_Forex1_10I,17833.66,2012/02/12,Advantage Corp,1010,FLORHAM PARK,EUR,EUR,Standard unmatched forex invoice,AP_Cloud_Demo,STANDARD,,,,,,Immediate,2012/02/12,,,2012/02/12,CHECK,Standard,#NULL,,,,,,,User,2012/02/12,1.54,01-000-2210-0000-000,#NULL,,,,,#NULL,#NULL,,,,1,#NULL,,,#NULL,#NULL,,,,#NULL,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
600,Vision Operations,External,AP_Demo_Std_Forex2_10I,10426.00,2012/02/12,Advanced Network Devices,1013,FRESNO,JPY,JPY,Standard Forex Invoice in JPY,AP_Cloud_Demo,STANDARD,,,,,,Immediate,2012/04/01,,,2012/04/01,CHECK,Standard,#NULL,,,,,,,Corporate,2012/02/12,,01-000-2210-0000-000,#NULL,,,,,#NULL,#NULL,,,,99,#NULL,,,#NULL,#NULL,,,,#NULL,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
700,Vision Operations,External,AP_Demo_CM_Forex_10I,-6591.51,2012/04/01,Advnatage Corp,1010,SEATTLE_HQ,CAD,CAD,Standard unmatched Forex Credit memo,AP_Cloud_Demo,CREDIT,,,,,,2/10 NET 30,2012/04/01,,,2012/04/01,CHECK,Standard,#NULL,,,,,,,Corporate,2012/02/12,,01-000-2210-0000-000,#NULL,,,,,#NULL,#NULL,,,,1,#NULL,,,#NULL,#NULL,,,,#NULL,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
800,Vision Operations,External,AP_Demo_Std_PoMatched_10I,33226.75,2012/04/01,Advanced Network Devices,1013,FRESNO,USD,USD,Standard PO matched invoice,AP_Cloud_Demo,STANDARD,,,,,,Immediate,2012/04/01,,,2012/04/01,CHECK,Standard,#NULL,,,,,,,,,,01-000-2210-0000-000,#NULL,,,,,#NULL,#NULL,,,,1,#NULL,,,#NULL,#NULL,,,,#NULL,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
900,Vision Operations,External,AP_Demo_Std_RctMatched_10I,15300.00,2012/04/01,Advanced Network Devices,1013,FRESNO,USD,USD,Standard Receipt matched invoice with Charge lines allocated,AP_Cloud_Demo,STANDARD,,,,,,2/10 Net 45,2012/04/01,,,2012/04/01,CHECK,Standard,#NULL,,,,,,,,,,01-000-2210-0000-000,#NULL,,,,,#NULL,#NULL,,,,1,#NULL,,,#NULL,#NULL,,,,#NULL,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
1000,Vision Operations,External,AP_Demo_Std_POForex_10I,90415.97,2012/02/12,Advanced Network Devices,1013,FRESNO,GBP,GBP,Standard forex Invoice with matched and unmatched lines,AP_Cloud_Demo,STANDARD,,,,,,Immediate,2012/04/01,,,2012/04/01,CHECK,Standard,#NULL,,,,,,,User,2012/02/12,1.75,01-000-2210-0000-000,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
1100,Vision Operations,External,AP_Demo_Std_Bad_Data_10I 1100,14403.90,2012/02/12,Advanced Network Devices,1013,FRESNO,USD,USD,Standard Invoice with bad data in Invoice Date - Incorrect date format,AP_Cloud_Demo,STANDARD,,,,,,Immediate,2012/04/01,,,2012/04/01,CHECK,Standard,,,,,,,,,,,01-000-2210-0000-000,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
1200,Vision Operations,External,AP_Demo_CM_Reject_10I 1200,-13064.56,2012/04/01,Advanced Network Devices,1013,FRESNO,USD,USD,Standard unmatched Credit memo with Header Rejection - Invalid Invoice Type Lookup,AP_Cloud_Demo,CREDIT,,,,,,Immediate,2012/04/01,,,2012/04/01,CHECK,Standard,,,,,,,,,,,01-000-2210-0000-000,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
1300,Vision Operations,External,AP_Demo_Std_Reject_10I 1300,37948.55,2012/02/12,Advantage Corp,,FLORHAM PARK,EUR,EUR,Standard Invoice with Header Rejection - Invalid Supplier,AP_Cloud_Demo,STANDARD,,,,,,2/10 NET 30,2012/04/01,,,2012/04/01,CHECK,Standard,,,,,,,,,,,01-000-2210-0000-000,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
1400,Vision Operations,External,AP_Demo_Std_UnMatched_10I 1400,14403.90,2012/02/12,Advanced Network Devices,1013,FRESNO,USD,USD,Standard unmatched Invoice,AP_Cloud_Demo,STANDARD,,,,,,Immediate,2012/04/01,,,2012/04/01,CHECK,Standard,,,,,,,,,,,01-000-2210-0000-000,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
1500,Vision Operations,External,AP_Demo_Std_Forex1_10I 1500,17833.66,2012/02/12,Advantage Corp,1010,FLORHAM PARK,EUR,EUR,Standard unmatched forex invoice,AP_Cloud_Demo,STANDARD,,,,,,Immediate,2012/02/12,,,2012/02/12,CHECK,Standard,,,,,,,,User,2012/02/12,1.54,01-000-2210-0000-000,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
1600,Vision Operations,External,AP_Demo_Std_Forex2_10I 1600,10426.00,2012/02/12,Advanced Network Devices,1013,FRESNO,JPY,JPY,Standard Forex Invoice in JPY,AP_Cloud_Demo,STANDARD,,,,,,Immediate,2012/04/01,,,2012/04/01,CHECK,Standard,,,,,,,,Corporate,2012/02/12,,01-000-2210-0000-000,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
1700,Vision Operations,External,AP_Demo_CM_Forex_10I 1700,-6591.51,2012/04/01,Advantage Corp,1010,SEATTLE_HQ,CAD,CAD,Standard unmatched Forex Credit memo,AP_Cloud_Demo,CREDIT,,,,,,2/10 NET 30,2012/04/01,,,2012/04/01,CHECK,Standard,,,,,,,,Corporate,2012/02/12,,01-000-2210-0000-000,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
1800,Vision Operations,External,AP_Demo_Std_PoMatched_10I 1800,33226.75,2012/04/01,Advanced Network Devices,1013,FRESNO,USD,USD,Standard PO matched invoice,AP_Cloud_Demo,STANDARD,,,,,,Immediate,2012/04/01,,,2012/04/01,CHECK,Standard,,,,,,,,,,,01-000-2210-0000-000,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
1900,Vision Operations,External,AP_Demo_Std_RctMatched_10I 1900,15300.00,2012/04/01,Advanced Network Devices,1013,FRESNO,USD,USD,Standard Receipt matched invoice with Charge lines allocated,AP_Cloud_Demo,STANDARD,,,,,,2/10 Net 45,2012/04/01,,,2012/04/01,CHECK,Standard,,,,,,,,,,,01-000-2210-0000-000,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
2000,Vision Operations,External,AP_Demo_Std_POForex_10I 2000,90415.97,2012/02/12,Advanced Network Devices,1013,FRESNO,GBP,GBP,Standard forex Invoice with matched and unmatched lines,AP_Cloud_Demo,STANDARD,,,,,,Immediate,2012/04/01,,,2012/04/01,CHECK,Standard,,,,,,,,User,2012/02/12,1.75,01-000-2210-0000-000,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
2100,Vision Operations,External,AP_Demo_Std_Bad_Data_10I 2100,14403.90,2012/02/12,Advanced Network Devices,1013,FRESNO,USD,USD,Standard Invoice with bad data in Invoice Date - Incorrect date format,AP_Cloud_Demo,STANDARD,,,,,,Immediate,2012/04/01,,,2012/04/01,CHECK,Standard,,,,,,,,,,,01-000-2210-0000-000,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
2200,Vision Operations,External,AP_Demo_CM_Reject_10I 2200,-13064.56,2012/04/01,Advanced Network Devices,1013,FRESNO,USD,USD,Standard unmatched Credit memo with Header Rejection - Invalid Invoice Type Lookup,AP_Cloud_Demo,CREDIT,,,,,,Immediate,2012/04/01,,,2012/04/01,CHECK,Standard,,,,,,,,,,,01-000-2210-0000-000,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
2300,Vision Operations,External,AP_Demo_Std_Reject_10I 2300,37948.55,2012/02/12,Advantage Corp,,FLORHAM PARK,EUR,EUR,Standard Invoice with Header Rejection - Invalid Supplier,AP_Cloud_Demo,STANDARD,,,,,,2/10 NET 30,2012/04/01,,,2012/04/01,CHECK,Standard,,,,,,,,,,,01-000-2210-0000-000,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
