PRC_BU,PO_HEADER_ID,PRC_BU_ID,REQ_BU,REQ_BU_ID,SOLDTO_LE,PO_LINE_ID,SOLDTO_LE_ID,BILLTO_BU,BILLTO_BU_ID,SEGMENT1,DOCUMENT_STATUS,BUYER,CREATION_DATE,AGENT_ID,TYPE_LOOKUP_CODE,LAST_UPDATED_BY,SHIP_TO_LOCATION_ID,BILL_TO_LOCATION_ID,CURRENCY_CODE,REVISION_NUM,REVISED_DATE,APPROVED_FLAG,APPROVED_DATE,ATTRIBUTE_CATEGORY,ATTRIBUTE1,ATTRIBUTE2,ATTRIBUTE3,ATTRIBUTE4,ATTRIBUTE5,VENDOR_CONTACT_ID,SUPPLIER_NOTIF_METHOD,EMAIL_ADDRESS,SUPP_NAME,VENDOR_SITE,PAYMENT_TERM,LINE_TYPE_ID,LINE_STATUS,LINE_NUM,CATEGORY_NM,ITEM_ID,ITEM_DESCRIPTION,UOM_CODE,QUANTITY,UNIT_PRICE,VENDOR_ID,VENDOR_SITE_ID,REQUISITION_HEADER_ID,REQUISITION_LINE_ID,ATTRIBUTE_CATEGORY_L,ATTRIBUTE1_L,ATTRIBUTE2_L,ATTRIBUTE3_L,TAX_CODE,TAX_AMOUNT,ACC_SEGMENT1,ACC_SEGMENT2,ACC_SEGMENT3,ACC_SEGMENT4,ACC_SEGMENT5,ACC_SEGMENT6,COUNT_AP_INVOICE,PO_HEADER_ID,PO_LINE_ID,DESTINATION_TYPE,DELIVER_TO_LOC,PRODUCT_TYPE,ASSESSABLE_VALUE,DELIVER_TO_LOC_LINFOX
"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000001906149,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000001906150,300000000943141,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000000944230,317000086,INCOMPLETE,FUSION_APPS_PRC_SOA_APPID,"20171202 035412",300000001043097,STANDARD,FUSION_APPS_PRC_SOA_APPID,300000000949617,300000000949617,THB,,,,,,,,,,,300000001045059,EMAIL,wwp@iceconsulting.co.th,"ICE Consulting",ABC,"30 Days",1,,1,RM,300000001630252,"BROWN BUN",PCS,300,200,300000000943255,300000001045007,3004,4008,,,,,,0,11,00000,117101,000000,00,0000,0,300000001906149,300000001906150,INVENTORY,Headquarters,GOODS,60000,66003
"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000001906369,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000001906370,300000000943141,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000000944230,317000087,INCOMPLETE,FUSION_APPS_PRC_SOA_APPID,"20171202 104404",300000001043097,STANDARD,FUSION_APPS_PRC_SOA_APPID,300000001907030,300000000949617,THB,,,,,,,,,,,300000001045059,EMAIL,wwp@iceconsulting.co.th,"ICE Consulting",ABC,"30 Days",1,,1,RM,300000001622008,"PEPSI PET 550ML",PCS,200,150,300000000943255,300000001045007,3011,7016,,,,,,0,11,00000,117101,000000,00,0000,0,300000001906369,300000001906370,INVENTORY,LFX-CHL,GOODS,30000,66003
"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000001906701,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000001906705,300000000943141,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000000944230,317000118,INCOMPLETE,FUSION_APPS_PRC_SOA_APPID,"20171202 105817",300000001043097,STANDARD,FUSION_APPS_PRC_SOA_APPID,300000001907058,300000000949617,THB,,,,,,,,,,,300000001045059,EMAIL,wwp@iceconsulting.co.th,"ICE Consulting",ABC,"30 Days",1,,1,RM,300000001630252,"BROWN BUN",PCS,2400,200,300000000943255,300000001045007,5020,6046,,,,,,0,11,00000,117101,000000,00,0000,0,300000001906701,300000001906705,INVENTORY,LFX-AMB,GOODS,480000,66003
"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000001910185,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000001910190,300000000943141,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000000944230,317000137,"PENDING APPROVAL",FUSION_APPS_PRC_SOA_APPID,"20171203 055726",300000001043097,STANDARD,FUSION_APPS_PRC_SOA_APPID,300000001870760,300000000949617,THB,,,,,,,,,,,300000001045059,EMAIL,wwp@iceconsulting.co.th,"ICE Consulting",ABC,"30 Days",1,,1,RM,300000001630252,"BROWN BUN",PCS,10,200,300000000943255,300000001045007,3081,7166,,,,,,0,11,00000,117101,000000,00,0000,0,300000001910185,300000001910190,INVENTORY,LFX-FZN,GOODS,2000,66003
"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000001910214,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000001910215,300000000943141,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000000944230,317000141,"PENDING APPROVAL",FUSION_APPS_PRC_SOA_APPID,"20171203 055729",300000001043097,STANDARD,FUSION_APPS_PRC_SOA_APPID,300000001870760,300000000949617,THB,,,,,,,,,,,300000001045059,EMAIL,wwp@iceconsulting.co.th,"ICE Consulting",ABC,"30 Days",1,,1,RM,300000001630252,"BROWN BUN",PCS,10,200,300000000943255,300000001045007,3092,7188,,,,,,0,11,00000,117101,000000,00,0000,0,300000001910214,300000001910215,INVENTORY,LFX-FZN,GOODS,2000,66003
"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000001910335,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000001910337,300000000943141,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000000944230,317000151,"PENDING APPROVAL",FUSION_APPS_PRC_SOA_APPID,"20171203 055741",300000001043097,STANDARD,FUSION_APPS_PRC_SOA_APPID,300000001870760,300000000949617,THB,,,,,,,,,,,300000001045059,EMAIL,wwp@iceconsulting.co.th,"ICE Consulting",ABC,"30 Days",1,,1,RM,300000001630252,"BROWN BUN",PCS,10,200,300000000943255,300000001045007,3110,7224,,,,,,0,11,00000,117101,000000,00,0000,0,300000001910335,300000001910337,INVENTORY,LFX-FZN,GOODS,2000,66003
"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000001910184,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000001910187,300000000943141,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000000944230,317000135,"PENDING APPROVAL",FUSION_APPS_PRC_SOA_APPID,"20171203 055726",300000001043097,STANDARD,FUSION_APPS_PRC_SOA_APPID,300000001870760,300000000949617,THB,,,,,,,,,,,300000001045059,EMAIL,wwp@iceconsulting.co.th,"ICE Consulting",ABC,"30 Days",1,,1,RM,300000001630252,"BROWN BUN",PCS,10,200,300000000943255,300000001045007,3097,7198,,,,,,0,11,00000,117101,000000,00,0000,0,300000001910184,300000001910187,INVENTORY,LFX-FZN,GOODS,2000,66003
"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000001910186,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000001910189,300000000943141,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000000944230,317000136,"PENDING APPROVAL",FUSION_APPS_PRC_SOA_APPID,"20171203 055726",300000001043097,STANDARD,FUSION_APPS_PRC_SOA_APPID,300000001870760,300000000949617,THB,,,,,,,,,,,300000001045059,EMAIL,wwp@iceconsulting.co.th,"ICE Consulting",ABC,"30 Days",1,,1,RM,300000001630252,"BROWN BUN",PCS,10,200,300000000943255,300000001045007,3091,7186,,,,,,0,11,00000,117101,000000,00,0000,0,300000001910186,300000001910189,INVENTORY,LFX-FZN,GOODS,2000,66003
"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000001910219,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000001910220,300000000943141,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000000944230,317000142,"PENDING APPROVAL",FUSION_APPS_PRC_SOA_APPID,"20171203 055735",300000001043097,STANDARD,FUSION_APPS_PRC_SOA_APPID,300000001870760,300000000949617,THB,,,,,,,,,,,300000001045059,EMAIL,wwp@iceconsulting.co.th,"ICE Consulting",ABC,"30 Days",1,,1,RM,300000001630252,"BROWN BUN",PCS,10,200,300000000943255,300000001045007,3104,7212,,,,,,0,11,00000,117101,000000,00,0000,0,300000001910219,300000001910220,INVENTORY,LFX-FZN,GOODS,2000,66003
"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000001910136,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000001910155,300000000943141,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000000944230,317000133,"PENDING APPROVAL",FUSION_APPS_PRC_SOA_APPID,"20171203 055725",300000001043097,STANDARD,FUSION_APPS_PRC_SOA_APPID,300000001907058,300000000949617,THB,,,,,,,,,,,300000001045059,EMAIL,wwp@iceconsulting.co.th,"ICE Consulting",ABC,"30 Days",1,,1,RM,300000001630252,"BROWN BUN",PCS,10,200,300000000943255,300000001045007,3077,7158,,,,,,0,11,00000,117101,000000,00,0000,0,300000001910136,300000001910155,INVENTORY,LFX-AMB,GOODS,2000,66003
"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000001910341,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000001910343,300000000943141,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000000944230,317000152,"PENDING APPROVAL",FUSION_APPS_PRC_SOA_APPID,"20171203 055741",300000001043097,STANDARD,FUSION_APPS_PRC_SOA_APPID,300000001870760,300000000949617,THB,,,,,,,,,,,300000001045059,EMAIL,wwp@iceconsulting.co.th,"ICE Consulting",ABC,"30 Days",1,,1,RM,300000001630252,"BROWN BUN",PCS,10,200,300000000943255,300000001045007,3093,7190,,,,,,0,11,00000,117101,000000,00,0000,0,300000001910341,300000001910343,INVENTORY,LFX-FZN,GOODS,2000,66003
"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000001910359,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000001910364,300000000943141,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000000944230,317000157,"PENDING APPROVAL",FUSION_APPS_PRC_SOA_APPID,"20171203 055742",300000001043097,STANDARD,FUSION_APPS_PRC_SOA_APPID,300000001870760,300000000949617,THB,,,,,,,,,,,300000001045059,EMAIL,wwp@iceconsulting.co.th,"ICE Consulting",ABC,"30 Days",1,,1,RM,300000001630252,"BROWN BUN",PCS,10,200,300000000943255,300000001045007,3105,7214,,,,,,0,11,00000,117101,000000,00,0000,0,300000001910359,300000001910364,INVENTORY,LFX-FZN,GOODS,2000,66003
"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000001910299,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000001910301,300000000943141,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",300000000944230,317000143,"PENDING APPROVAL",FUSION_APPS_PRC_SOA_APPID,"20171203 055740",300000001043097,STANDARD,FUSION_APPS_PRC_SOA_APPID,300000001870760,300000000949617,THB,,,,,,,,,,,300000001045059,EMAIL,wwp@iceconsulting.co.th,"ICE Consulting",ABC,"30 Days",1,,1,RM,300000001630252,"BROWN BUN",PCS,10,200,300000000943255,300000001045007,3084,7172,,,,,,0,11,00000,117101,000000,00,0000,0,300000001910299,300000001910301,INVENTORY,LFX-FZN,GOODS,2000,66003
