REQUISITION_NUMBER,REQUISITION_HEADER_ID,REQUISITION_LINE_ID,REQ_BU_ID,NAME,CREATION_DATE,FUNDS_STATUS,DESCRIPTION,ATTRIBUTE1,ATTRIBUTE2,ATTRIBUTE3,ATTRIBUTE4,ATTRIBUTE5,ATTRIBUTE6,ATTRIBUTE7,ATTRIBUTE8,ATTRIBUTE9,ATTRIBUTE10,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15,ATTRIBUTE16,ATTRIBUTE17,ATTRIBUTE18,ATTRIBUTE19,ATTRIBUTE20,LAST_UPDATE_DATE,LINE_NUMBER,LINE_TYPE,UOM_CODE,UNIT_PRICE,ITEM_ID,ITEM_DESCRIPTION,AMOUNT,CURRENCY_AMOUNT,PO_ORDER,SECONDARY_UOM_CODE,SECONDARY_QUANTITY,CREATED_BY,DESTINATION_TYPE_CODE,DESTINATION_ORGANIZATION_ID,SOURCE_TYPE_CODE,DOCUMENT_STATUS,CATEGORY,CONVERSION_TYPE,CONVERSION_DATE,CONVERSION_RATE,LOCATION,VENDOR_ID,VENDOR_SITE_ID,ATTRIBUTE_CATEGORY,ATTRIBUTE1_L,ATTRIBUTE2_L,ATTRIBUTE3_L,ATTRIBUTE_CATEGORY_L,BUDGET_DATE,FUNDS_STATUS,REQUISITION_LINE_ID,PERCENT,DISTRIBUTION_CURRENCY_AMOUNT,DISTRIBUTION,CHARGE_ACCOUNT
PR17000970,3021,7042,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819423_PR1214843220161020-144355-399_1.txt,LINFOX,12819423,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,200,300000001630252,"BROWN BUN",,,317000096,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-AMB,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,7042,100,720000,1,11.00000.117101.000000.00.0000
PR17000971,3024,7048,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819424_PR1214843220161020-144355-399_1.txt,LINFOX,12819424,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,200,300000001630252,"BROWN BUN",,,317000090,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-AMB,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,7048,100,720000,1,11.00000.117101.000000.00.0000
PR17000968,3025,7050,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819421_PR1214843220161020-144355-399_1.txt,LINFOX,12819421,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,200,300000001630252,"BROWN BUN",,,317000093,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-AMB,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,7050,100,480000,1,11.00000.117101.000000.00.0000
PR17000966,3027,7054,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819419_PR1214843220161020-144355-399_1.txt,LINFOX,12819419,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,150,300000001622008,"PEPSI PET 550ML",,,317000094,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-AMB,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,7054,100,45000,1,11.00000.117101.000000.00.0000
PR17000967,3028,7056,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819420_PR1214843220161020-144355-399_1.txt,LINFOX,12819420,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,200,300000001630252,"BROWN BUN",,,317000097,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-AMB,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,7056,100,19200,1,11.00000.117101.000000.00.0000
PR17000965,3017,7030,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819418_PR1214843220161020-144355-399_1.txt,LINFOX,12819418,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,150,300000001622008,"PEPSI PET 550ML",,,317000091,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-AMB,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,7030,100,4500,1,11.00000.117101.000000.00.0000
PR17000969,3018,7032,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819422_PR1214843220161020-144355-399_1.txt,LINFOX,12819422,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,200,300000001630252,"BROWN BUN",,,317000092,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-AMB,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,7032,100,480000,1,11.00000.117101.000000.00.0000
PR17000972,3019,7035,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819425_PR1214843220161020-144355-399_1.txt,LINFOX,12819425,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,200,300000001630252,"BROWN BUN",,,317000095,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-AMB,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,7035,100,20000,1,11.00000.117101.000000.00.0000
PR17000972,3019,7036,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819425_PR1214843220161020-144355-399_1.txt,LINFOX,12819425,,,,,,,,,,,,,,,,,,,20171202,2,Goods,PCS,150,300000001622008,"PEPSI PET 550ML",,,317000095,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-AMB,300000000943255,300000001045007,,,2.000,,,"20171202 000000",RESERVED,7036,100,15000,1,11.00000.117101.000000.00.0000
PR17000964,3011,7016,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819344_PR1214843220161020-144355-399_1.txt,LINFOX,12819344,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,150,300000001622008,"PEPSI PET 550ML",,,317000087,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-CHL,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,7016,100,30000,1,11.00000.117101.000000.00.0000
